rollno,register_sem,schedule_sem,course_code
1401CE07,4,4,HS225
1401CE21,4,4,HS225
1401CE24,4,4,HS225
1401CE26,4,4,HS225
1401CE42,4,4,HS225
1401CE52,4,4,HS225
1401CE61,4,4,HS225
1401CS08,4,4,HS225
1401CS10,4,4,HS225
1401CS11,4,4,HS225
1401CS16,4,4,HS225
1401CS23,4,4,HS225
1401CS32,4,4,HS225
1401CS33,4,4,HS225
1401CS40,4,4,HS225
1401CS43,4,4,HS225
1401CS44,4,4,HS225
1401CS45,4,4,HS225
1401CS48,4,4,HS202
1401CS52,4,4,HS225
1401CS53,4,4,HS225
1401CS55,4,4,HS225
1401CS60,4,4,HS225
1401CS62,4,4,HS225
1401CS63,4,4,HS225
1401CS64,4,4,HS225
1401CS74,4,4,HS225
1401CS75,4,4,HS202
1401CS76,4,4,HS225
1401CS89,4,4,HS212
1401CS91,4,4,HS225
1401EE10,4,4,HS225
1401EE12,4,4,HS225
