rollno,register_sem,schedule_sem,course_code
1201CS52,8,8,CS551
1201CS52,8,8,CS563
1201CS52,8,8,CS568
1201CS52,8,8,CS492
1201EE58,8,8,EE528
1201EE58,8,8,EE573
1201EE58,8,8,EE496
1201EE24,8,8,EE528
1201EE24,8,8,EE573
1201EE24,8,8,EE496
1301CS03,6,6,CS392
1301CS03,6,6,HS331
1301CS03,6,6,CS341
1301CS03,6,6,CS342
1301CS03,6,6,CS358
1301CS03,6,6,CS359
1301CS03,6,6,CS399
1201CS32,8,8,CS551
1201CS32,8,8,CS563
1201CS32,8,8,CS568
1201CS32,8,8,CS492
1411MM14,4,4,MM604
1301CS51,6,6,CS392
1301CS51,6,6,HS302
1301CS51,6,6,CS341
1301CS51,6,6,CS342
1301CS51,6,6,CS358
1301CS51,6,6,CS359
1301CS51,6,6,CS399
1201EE08,8,8,EE566
1201EE08,8,8,EE573
1201EE08,8,8,EE496
1201CS04,8,8,CS551
1201CS04,8,8,CS563
1201CS04,8,8,CS568
1201CS04,8,8,CS492
1301CB64,6,6,CB424
1301CB64,6,6,HS341
1301CB64,6,6,CB302
1301CB64,6,6,CB304
1301CB64,6,6,CB306
1301CB64,6,6,CB308
1301CB64,6,6,CB310
1301ME25,6,6,HS302
1301ME25,6,6,ME312
1301ME25,6,6,ME314
1301ME25,6,6,ME332
1301ME25,6,6,ME396
1401MM27,4,4,HS202
1401MM27,4,4,CS244
1401MM27,4,4,MM202
1401MM27,4,4,MM204
1401MM27,4,4,MM206
1401MM27,4,4,MM210
1511AI29,2,2,CS568
1511AI29,2,2,CS551
1511AI29,2,2,CS563
1511AI29,2,2,MA546
1511AI29,2,2,CS546
1511AI29,2,2,CS516
1201CB07,8,8,CB502
1201CB07,8,8,CB506
1201CB07,8,8,CB402
1201CB14,8,8,CB502
1201CB14,8,8,CB506
1201CB14,8,8,CB504
1201CB14,8,8,CB402
1201CS73,8,8,CS551
1201CS73,8,8,CS563
1201CS73,8,8,CS568
1201CS73,8,8,CS492
1401PH09,4,4,HS202
1401PH09,4,4,EP202
1401PH09,4,4,EP204
1401PH09,4,4,EP206
